Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Mother's Hispanic Origin	Mother's Hispanic Origin Code	Year	Year Code	Births
	"Chautauqua County, NY"	36013	White	2106-3	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	20
	"Chautauqua County, NY"	36013	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	15
	"Chautauqua County, NY"	36013	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	19
	"Chautauqua County, NY"	36013	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	27
	"Chautauqua County, NY"	36013	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	14
	"Chautauqua County, NY"	36013	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	12
	"Dutchess County, NY"	36027	Asian	A	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
	"Dutchess County, NY"	36027	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Dutchess County, NY"	36027	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Dutchess County, NY"	36027	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Dutchess County, NY"	36027	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Dutchess County, NY"	36027	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Dutchess County, NY"	36027	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Dutchess County, NY"	36027	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Dutchess County, NY"	36027	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	13
	"Dutchess County, NY"	36027	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	17
	"Dutchess County, NY"	36027	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	Suppressed
	"Dutchess County, NY"	36027	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	10
	"Dutchess County, NY"	36027	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	13
	"Dutchess County, NY"	36027	White	2106-3	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Dutchess County, NY"	36027	White	2106-3	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Dutchess County, NY"	36027	White	2106-3	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Dutchess County, NY"	36027	White	2106-3	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Dutchess County, NY"	36027	White	2106-3	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Dutchess County, NY"	36027	White	2106-3	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Dutchess County, NY"	36027	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	30
	"Dutchess County, NY"	36027	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	25
	"Dutchess County, NY"	36027	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	20
	"Dutchess County, NY"	36027	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	16
	"Dutchess County, NY"	36027	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	23
	"Dutchess County, NY"	36027	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	27
	"Erie County, NY"	36029	Asian	A	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Erie County, NY"	36029	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Erie County, NY"	36029	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Erie County, NY"	36029	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Erie County, NY"	36029	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Erie County, NY"	36029	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Erie County, NY"	36029	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	21
	"Erie County, NY"	36029	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	11
	"Erie County, NY"	36029	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	10
	"Erie County, NY"	36029	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	14
	"Erie County, NY"	36029	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Erie County, NY"	36029	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	19
	"Erie County, NY"	36029	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Erie County, NY"	36029	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Erie County, NY"	36029	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Erie County, NY"	36029	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Erie County, NY"	36029	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Erie County, NY"	36029	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Erie County, NY"	36029	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	83
	"Erie County, NY"	36029	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	94
	"Erie County, NY"	36029	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	70
	"Erie County, NY"	36029	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	64
	"Erie County, NY"	36029	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	76
	"Erie County, NY"	36029	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	73
	"Erie County, NY"	36029	White	2106-3	Hispanic or Latino	2135-2	2016	2016	14
	"Erie County, NY"	36029	White	2106-3	Hispanic or Latino	2135-2	2017	2017	18
	"Erie County, NY"	36029	White	2106-3	Hispanic or Latino	2135-2	2018	2018	21
	"Erie County, NY"	36029	White	2106-3	Hispanic or Latino	2135-2	2019	2019	16
	"Erie County, NY"	36029	White	2106-3	Hispanic or Latino	2135-2	2020	2020	13
	"Erie County, NY"	36029	White	2106-3	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Erie County, NY"	36029	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	111
	"Erie County, NY"	36029	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	93
	"Erie County, NY"	36029	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	97
	"Erie County, NY"	36029	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	93
	"Erie County, NY"	36029	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	83
	"Erie County, NY"	36029	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	110
	"Jefferson County, NY"	36045	Asian	A	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Jefferson County, NY"	36045	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Jefferson County, NY"	36045	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Jefferson County, NY"	36045	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	20
	"Jefferson County, NY"	36045	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	19
	"Jefferson County, NY"	36045	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	12
	"Jefferson County, NY"	36045	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	25
	"Jefferson County, NY"	36045	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	24
	"Jefferson County, NY"	36045	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	31
	"Kings County, NY"	36047	Asian	A	Hispanic or Latino	2135-2	2016	2016	10
	"Kings County, NY"	36047	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Kings County, NY"	36047	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Kings County, NY"	36047	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Kings County, NY"	36047	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Kings County, NY"	36047	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Kings County, NY"	36047	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	100
	"Kings County, NY"	36047	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	90
	"Kings County, NY"	36047	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	89
	"Kings County, NY"	36047	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	89
	"Kings County, NY"	36047	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	75
	"Kings County, NY"	36047	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	68
	"Kings County, NY"	36047	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	31
	"Kings County, NY"	36047	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	34
	"Kings County, NY"	36047	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	31
	"Kings County, NY"	36047	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	31
